vendor_id,vendor_name,country,city,website,lei,tax_id,created_date,end_date
V0001,Alpha Consulting,India,Bangalore,,,IE1111111A,2023-02-14,2026-02-28
V0002,Alpha Consulting Ltd.,India,Bangalore,,,IE1111111A,2023-03-01,2026-03-15
V0003,ABC Pharma Services,India,Mumbai,,,,2022-11-09,2025-10-20
V0004,Services ABC Pharma,India,Mumbai,,,,2022-12-01,2025-11-18
V0005,IBM,United States,Austin,,,,2023-06-21,2027-06-30
V0006,International Business Machines,United States,Austin,,,,2023-07-05,2027-07-31
V0007,Blue-Tech R&D,Germany,Munich,,,,2022-04-12,2025-04-11
V0008,Bluetech R and D,Germany,Munich,,,,2022-05-20,2025-05-25
V0009,Cognizant,India,Pune,cognizant.com,,29ABCDE1234F1Z5,2024-01-08,2027-12-15
V0010,Cognizant Technology Solutions,India,Pune,cognizant.com,,29ABCDE1234F1Z5,2024-01-25,2028-01-10
V0011,Parent Company,India,Hyderabad,,,,2023-09-03,2026-09-30
V0012,Parent India Pvt Ltd,India,Hyderabad,,,,2023-09-21,2026-10-22
V0013,Nexa Logistics,United Kingdom,London,,,,2022-07-16,2025-07-15
V0014,Nexa Logistics Pvt Ltd,United Kingdom,London,,,,2022-08-02,2025-08-10
V0015,GreenLeaf Trading,France,Lyon,,,,2023-10-29,2026-10-28
V0016,Green Leaf Trading Ltd,France,Lyon,,,,2023-11-12,2026-11-30
V0017,Orion Manufacturing,United States,Seattle,,,,2022-01-23,2024-12-31
V0018,Manufacturing Orion GmbH,United States,Seattle,,,,2022-02-14,2025-01-20
V0019,SkyBridge Telecom,Sweden,Gothenburg,,,,2023-04-06,2026-04-05
V0020,Telecom Sky Bridge Technologies,Sweden,Gothenburg,,,,2023-04-22,2026-05-30
V0021,TechVista Labs,India,Chennai,,,,2022-12-18,2026-01-17
V0022,TechVista Laboratories Pvt Ltd,India,Chennai,,,,2023-01-03,2026-02-01
V0023,Infosys Ltd.,India,,,,,2022-12-18,2026-01-17
V0024,Infosys BPM Ltd,India,,,,,2022-09-07,2026-09-06
V0025,Meridian Construction,France,Paris,,,,2023-05-11,2027-05-10
V0026,Construction Meridian Builders Pvt Ltd,France,Paris,,,,2023-05-29,2027-06-15
V0027,VentureWorks Energy,UAE,Dubai,,,,2022-09-07,2026-09-06
V0028,Energy VentureWorks Inc.,UAE,Dubai,,,,2022-10-01,2026-10-18
V0029,HarborView Marine Services,Spain,Valencia,,,,2023-08-19,2027-08-18
V0030,Marine Services HarborView Pvt Ltd,Spain,Valencia,,,,2023-09-02,2027-09-27
V0031,CloudKite Security,Singapore,Singapore,,,,2024-02-05,2028-02-04
V0032,Security CloudKite Technologies Ltd,Singapore,Singapore,,,,2024-02-22,2028-03-10
V0033,SilverCrest Media Group,South Africa,Johannesburg,,,,2022-08-30,2025-08-29
V0034,Media SilverCrest Group Pvt Ltd,South Africa,Johannesburg,,,,2022-09-19,2025-10-05
V0035,Keystone Systems,United Kingdom,Manchester,,,,2023-11-16,2026-11-15
V0036,Systems Keystone Technologies Inc.,United Kingdom,Manchester,,,,2023-12-01,2027-01-05
V0037,Clearwater Dental Group,Ireland,Dublin,,,,2022-01-11,2026-01-10
V0038,Dental Group Clearwater Ltd,Ireland,Dublin,,,,2023-03-17,2027-03-16
V0039,Horizon Property Management,United Kingdom,Birmingham,,,,2022-06-24,2025-06-23
V0040,Management Horizon Property Pvt Ltd,United Kingdom,Birmingham,,,,2023-07-22,2027-07-21
V0041,Blackwood Industrial Supplies,Germany,Hamburg,,,,2023-03-29,2026-03-28
V0042,Industrial Supplies Blackwood LLC,Germany,Hamburg,,,,2022-12-28,2025-12-27
V0043,Apex MedTech,Spain,Barcelona,,,,2023-06-02,2027-06-01
V0044,MedTech Apex Healthcare Ltd,Spain,Barcelona,,,,2022-09-26,2025-09-25
V0045,Vertex Foods,India,Ahmedabad,,,,2024-01-30,2028-01-29
V0046,Foods Vertex Pvt Ltd,India,Ahmedabad,,,,2023-02-08,2026-02-07
V0047,NovaLogistics,UAE,Abu Dhabi,,,,2022-03-14,2025-03-13
V0048,Nova Logistics Solutions Inc.,UAE,Abu Dhabi,,,,2023-10-07,2027-10-06
V0049,Saffron Imports,Australia,Sydney,,,,2022-05-27,2025-05-26
V0050,Imports Saffron Trading LLP,Australia,Sydney,,,,2022-06-18,2025-06-30
V0051,Zenith Consulting,Sweden,Stockholm,,,,2022-10-14,2025-10-13
V0052,Consulting Zenith & Co.,Sweden,Stockholm,,,,2022-11-01,2025-11-20
V0053,Orchid Supply Partners,India,Jaipur,,,,2023-01-09,2026-01-08
V0054,Silverbridge Procurement,United States,Chicago,,,,2022-07-30,2025-07-29
V0055,Amberstone Facilities,Canada,Toronto,,,,2023-09-18,2026-09-17
V0056,Everfield Engineering,Germany,Berlin,,,,2022-02-05,2025-02-04
V0057,MapleEdge Construction,Netherlands,Rotterdam,,,,2023-04-27,2026-04-26
V0058,Radiant Analytics Group,United Kingdom,Bristol,,,,2024-03-11,2028-03-10
V0059,CoralPeak Retail Services,United Arab Emirates,Sharjah,,,,2022-12-02,2025-12-01
V0060,Bluehaven Procurement Co,France,Lille,,,,2023-06-16,2027-06-15
V0061,Emerald Freight Solutions,Singapore,Singapore,,,,2022-08-21,2025-08-20
V0062,GoldenTrail Logistics,Australia,Melbourne,,,,2023-10-02,2026-10-01
V0063,SilverCedar IT Services,India,Kolkata,,,,2024-05-23,2028-05-22
V0064,Northwind Advisory,Sweden,Malmö,,,,2022-11-25,2025-11-24
V0065,Atlas Springs Healthcare,Ireland,Cork,,,,2023-02-07,2026-02-06
V0066,Vertex Harbor Management,Italy,Milan,,,,2023-07-14,2027-07-13
V0067,PrairieLine Distribution,United States,Denver,,,,2022-04-29,2025-04-28
V0068,Rivertown Services Group,United States,Seattle,,,,2023-12-08,2027-12-07
V0069,Keystone Paper Supplies,UK,Edinburgh,,,,2022-03-18,2025-03-17
V0070,GraniteView Security,Germany,Frankfurt,,,,2024-01-20,2028-01-19
V0071,WillowRiver Consulting,France,Bordeaux,,,,2023-08-03,2026-08-02
V0072,Sunrise Energy Trading,UAE,Dubai,,,,2022-05-10,2025-05-09
V0073,Meridian Office Solutions,Spain,Madrid,,,,2023-06-29,2027-06-28
V0074,PrimeRock Manufacturing,India,Lucknow,,,,2022-09-16,2025-09-15
V0075,Stonecrest Supply Chain,Canada,Ottawa,,,,2024-02-26,2027-02-25
V0076,CloudMosaic Hosting,Netherlands,Eindhoven,,,,2023-11-27,2027-11-26
V0077,ZenithWorks Talent Services,Norway,Oslo,,,,2022-01-28,2024-01-27
V0078,BeaconWave Marketing,Belgium,Antwerp,,,,2023-05-31,2026-05-30
V0079,ClearVista Medical Supplies,Switzerland,Zurich,,,,2024-04-14,2027-04-13
V0080,Evergreen Agritech,Canada,Vancouver,,,,2022-06-07,2025-06-06
V0081,Redstone Finance Partners,United States,Boston,,,,2023-03-19,2026-03-18
V0082,NovaWave Telecom Services,Sweden,Uppsala,,,,2022-07-13,2025-07-12
V0083,MapleNova Education Services,Australia,Perth,,,,2023-01-22,2026-01-21
V0084,BrightField Consulting,Germany,Hamburg,,,,2022-10-03,2025-10-02
V0085,SilverPeak IT Services,India,Pune,,,,2023-09-09,2027-09-08
V0086,GreenStone Foods Distribution,France,Toulouse,,,,2022-02-17,2025-02-16
V0087,BlueOrchard Trading,Italy,Rome,,,,2024-06-01,2028-05-31
